# timestamp, image file
18.547541, 00352.png
18.597540, 00353.png
18.647539, 00354.png
18.697540, 00355.png
18.747539, 00356.png
18.797541, 00357.png
18.847540, 00358.png
18.897540, 00359.png
18.947543, 00360.png
18.997539, 00361.png
19.047540, 00362.png
19.097540, 00363.png
19.147539, 00364.png
19.197540, 00365.png
19.247540, 00366.png
19.297540, 00367.png
19.347540, 00368.png
19.397540, 00369.png
19.447540, 00370.png
19.497540, 00371.png
19.547540, 00372.png
19.597540, 00373.png
19.647539, 00374.png
19.697541, 00375.png
19.747539, 00376.png
19.797540, 00378.png
19.847539, 00379.png
19.897539, 00380.png
19.947541, 00381.png
19.997539, 00382.png
20.047540, 00383.png
20.097539, 00384.png
20.147539, 00385.png
20.197540, 00386.png
20.247539, 00387.png
20.297540, 00388.png
20.347540, 00389.png
20.397539, 00390.png
20.447541, 00391.png
20.497540, 00392.png
20.547540, 00393.png
20.597541, 00394.png
20.647539, 00395.png
20.697540, 00396.png
20.747539, 00397.png
20.797540, 00398.png
20.847539, 00399.png
20.897539, 00400.png
