#  time, acc(x, y, z), gyro(x, y, z)
8.532180, -8.820239, -0.076614, 0.881066, -0.056459, 0.063916, -0.066046
8.540577, -8.810662, -0.162806, 0.871489, -0.066046, 0.070307, -0.073503
8.544508, -8.868123, -0.210690, 0.861913, -0.060720, 0.059655, -0.078830
8.548174, -8.896853, -0.239420, 0.814029, -0.057524, 0.052198, -0.083091
8.552368, -8.896853, -0.287304, 0.842759, -0.052198, 0.033023, -0.078830
8.560582, -8.992621, -0.354342, 0.881066, -0.044741, 0.021305, -0.074569
8.564491, -9.030929, -0.383072, 0.881066, -0.039415, 0.005326, -0.068177
8.568128, -9.069236, -0.421380, 0.900220, -0.035154, -0.007457, -0.058590
8.572323, -9.097966, -0.469264, 0.938527, -0.021305, -0.009587, -0.035154
8.580579, -9.050082, -0.488417, 1.034295, -0.018109, -0.011718, -0.025566
8.584654, -9.050082, -0.488417, 1.043872, -0.021305, -0.017044, -0.008522
8.588314, -9.002198, -0.488417, 1.053449, -0.002131, -0.002131, 0.004261
8.592314, -8.992621, -0.440533, 1.072602, -0.000000, 0.003196, 0.013848
8.600592, -8.925584, -0.430956, 1.091756, -0.001065, 0.001065, 0.026632
8.604416, -8.916007, -0.402226, 1.034295, 0.011718, 0.012783, 0.024501
8.608089, -8.906430, -0.373495, 1.005565, 0.023436, 0.008522, 0.039415
8.612274, -8.906430, -0.325611, 0.957681, 0.028762, 0.001065, 0.050067
8.620534, -8.858546, -0.287304, 0.919373, 0.025566, -0.001065, 0.049002
8.624597, -8.829816, -0.258574, 0.871489, 0.024501, -0.010653, 0.058590
8.628260, -8.810662, -0.220267, 0.890643, 0.017044, -0.019175, 0.055394
8.632260, -8.810662, -0.201113, 0.881066, 0.007457, -0.023436, 0.052198
8.640441, -8.762778, -0.181959, 0.919373, 0.003196, -0.020240, 0.047937
8.644354, -8.743625, -0.143652, 0.938527, -0.011718, -0.021305, 0.043676
8.648151, -8.772355, -0.162806, 0.948104, -0.022371, -0.020240, 0.037284
8.652024, -8.734048, -0.172383, 0.976834, -0.019175, -0.007457, 0.030893
8.660482, -8.743625, -0.201113, 0.986411, -0.015979, -0.001065, 0.030893
8.664348, -8.801085, -0.201113, 1.005565, -0.026632, 0.004261, 0.022371
8.668008, -8.791509, -0.181959, 0.995988, -0.015979, 0.004261, 0.030893
8.672207, -8.762778, -0.181959, 0.976834, -0.013848, -0.004261, 0.027697
8.680389, -8.705317, -0.172383, 0.938527, -0.010653, -0.008522, 0.023436
8.684503, -8.714894, -0.181959, 0.919373, -0.019175, -0.004261, 0.015979
8.688167, -8.724471, -0.181959, 0.900220, -0.023436, 0.007457, 0.003196
8.692163, -8.705317, -0.162806, 0.871489, -0.029827, 0.014914, 0.001065
8.700399, -8.686164, -0.181959, 0.775721, -0.038350, 0.025566, 0.002131
8.704497, -8.724471, -0.124498, 0.727837, -0.050067, 0.033023, -0.009587
8.708195, -8.705317, -0.095768, 0.689530, -0.051133, 0.030893, -0.015979
8.711959, -8.734048, -0.086191, 0.641646, -0.067112, 0.013848, -0.014914
8.720452, -8.734048, -0.105345, 0.612916, -0.060720, 0.010653, -0.034088
8.724447, -8.753201, -0.143652, 0.632069, -0.063916, -0.003196, -0.037284
8.728117, -8.772355, -0.191536, 0.603339, -0.070307, -0.024501, -0.047937
8.732110, -8.810662, -0.229843, 0.574608, -0.062851, -0.038350, -0.051133
8.740322, -8.858546, -0.316035, 0.679953, -0.061785, -0.057524, -0.050067
8.744440, -8.935161, -0.335188, 0.727837, -0.055394, -0.069242, -0.053263
8.748102, -9.011775, -0.354342, 0.727837, -0.061785, -0.082025, -0.055394
8.751904, -8.944737, -0.402226, 0.679953, -0.078830, -0.093743, -0.050067
8.760403, -8.916007, -0.517148, 0.775721, -0.089482, -0.091613, -0.062851
8.764391, -9.002198, -0.565032, 0.814029, -0.115049, -0.094809, -0.060720
8.768060, -9.097966, -0.603339, 0.900220, -0.138484, -0.088417, -0.054328
8.771857, -9.126697, -0.651223, 0.986411, -0.140615, -0.078830, -0.030893
8.780324, -9.136273, -0.641646, 1.130063, -0.145941, -0.064981, -0.010653
8.784383, -9.107543, -0.622492, 1.206678, -0.138484, -0.054328, 0.007457
8.788050, -9.107543, -0.603339, 1.187524, -0.125701, -0.050067, 0.022371
8.791854, -9.097966, -0.565032, 1.158794, -0.120375, -0.044741, 0.037284
8.800361, -9.059659, -0.497994, 1.091756, -0.102265, -0.051133, 0.043676
8.804347, -9.050082, -0.497994, 1.034295, -0.100135, -0.060720, 0.053263
8.808019, -9.097966, -0.478840, 0.995988, -0.082025, -0.070307, 0.057524
8.812004, -9.117120, -0.478840, 1.005565, -0.080960, -0.085221, 0.069242
8.820278, -9.174581, -0.411803, 1.005565, -0.077764, -0.099070, 0.083091
8.824333, -9.107543, -0.383072, 0.986411, -0.079895, -0.117179, 0.091613
8.827993, -9.088389, -0.383072, 0.995988, -0.072438, -0.126766, 0.095874
8.831963, -9.078813, -0.306458, 1.043872, -0.085221, -0.135289, 0.089482
8.840293, -9.069236, -0.258574, 1.149217, -0.095874, -0.132093, 0.078830
8.844284, -9.069236, -0.287304, 1.177947, -0.104396, -0.128897, 0.074569
8.847954, -9.088389, -0.258574, 1.149217, -0.120375, -0.118244, 0.067112
8.851765, -9.155427, -0.335188, 1.225831, -0.144876, -0.116114, 0.069242
8.860294, -9.222465, -0.296881, 1.244985, -0.158724, -0.108657, 0.078830
8.864277, -9.260772, -0.258574, 1.264138, -0.184291, -0.111853, 0.077764
8.867940, -9.165004, -0.277727, 1.264138, -0.206661, -0.131028, 0.080960
8.871909, -9.184157, -0.296881, 1.321599, -0.230097, -0.142745, 0.069242
8.880240, -9.356541, -0.296881, 1.532289, -0.250337, -0.152333, 0.071373
8.884037, -9.433155, -0.316035, 1.589750, -0.286556, -0.149137, 0.083091
8.887816, -9.461885, -0.277727, 1.714248, -0.309992, -0.138484, 0.094809
8.891896, -9.452309, -0.229843, 1.829170, -0.318514, -0.117179, 0.107592
8.900218, -9.414001, -0.162806, 2.030283, -0.319579, -0.080960, 0.122505
8.904034, -9.433155, -0.124498, 2.078167, -0.305731, -0.067112, 0.133158
8.907651, -9.327810, -0.076614, 2.078167, -0.299339, -0.061785, 0.143811
8.911663, -9.299079, -0.047884, 2.097321, -0.255663, -0.055394, 0.138484
8.920180, -9.260772, 0.028730, 2.049437, -0.230097, -0.051133, 0.136354
8.923847, -9.193734, 0.057461, 1.963245, -0.200270, -0.039415, 0.125701
8.927922, -9.184157, 0.057461, 1.848324, -0.170442, -0.049002, 0.118244
8.931843, -9.260772, 0.038307, 1.742979, -0.151268, -0.066046, 0.122505
8.940181, -9.107543, 0.086191, 1.532289, -0.144876, -0.070307, 0.118244
8.943943, -8.983045, 0.038307, 1.350330, -0.152333, -0.069242, 0.098004
8.947570, -9.021352, 0.009577, 1.254562, -0.194943, -0.063916, 0.072438
8.951830, -9.136273, -0.009577, 1.177947, -0.236489, -0.052198, 0.071373
8.960128, -9.088389, -0.028730, 1.091756, -0.284426, -0.045806, 0.072438
8.963927, -8.983045, -0.086191, 1.043872, -0.343015, -0.024501, 0.067112
8.967742, -9.050082, -0.105345, 1.063026, -0.409062, -0.006392, 0.054328
8.971594, -9.212888, -0.009577, 1.063026, -0.459129, 0.002131, 0.058590
